country,sftgcode,forecast.year,mean_p,rf.p,threat.p,harff.p,year,imr.normed.ln,mev.regac.ln,postcw,cou.tries5d,pol.cat.fl2,pol.cat.fl3,pol.cat.fl7,pol.durable.ln,gdppcgrow.sr,mev.civtot.ln,ios.iccpr1,wdi.popsize.ln,coup.p,cwar.p,reg.eap,reg.eur,reg.mna,reg.sca,reg.amr,pol.cat.pitf2,pol.cat.pitf3,pol.cat.pitf4,pol.cat.pitf5,pol.cat.pitf6,dis.l4pop.ln,pitf.p,mkl.ever,pit.sftpuhvl2.10.ln,pol.autoc,elc.eliti,elc.elethc,wdi.trade.ln,reg.afr,mkl.ongoing,countryage.ln,pol.cat.fl1,elf.ethnicc1,elf.ethnicc2,elf.ethnicc3,elf.ethnicc9,elc.eleth1,elc.eleth2,date,mean_pPER,rf.pPER,threat.pPER,harff.pPER,imr.normed.lnPER,mev.regac.lnPER,postcwPER,cou.tries5dPER,pol.cat.fl2PER,pol.cat.fl3PER,pol.cat.fl7PER,pol.durable.lnPER,gdppcgrow.srPER,mev.civtot.lnPER,ios.iccpr1PER,wdi.popsize.lnPER,coup.pPER,cwar.pPER,reg.eapPER,reg.eurPER,reg.mnaPER,reg.scaPER,reg.amrPER,pol.cat.pitf2PER,pol.cat.pitf3PER,pol.cat.pitf4PER,pol.cat.pitf5PER,pol.cat.pitf6PER,dis.l4pop.lnPER,pitf.pPER,mkl.everPER,pit.sftpuhvl2.10.lnPER,pol.autocPER,elc.elitiPER,elc.elethcPER,wdi.trade.lnPER,reg.afrPER,mkl.ongoingPER,countryage.lnPER,pol.cat.fl1PER,elf.ethnicc1PER,elf.ethnicc2PER,elf.ethnicc3PER,elf.ethnicc9PER,elc.eleth1PER,elc.eleth2PER
Azerbaijan,AZE,2016,0.004896993,0.001,0.005266026,0.008424952,2015,0.298382945,3.258096538,1,0,0,0,0,3.044522438,0.545519631,0,1,9.174816816,0.013121114,0.023990885,0,1,0,0,0,0,0,0,0,0,0,0.0179901,1,0,1,0,1,4.241459192,0,0,3.218875825,1,1,0,0,0,1,0,4/8/17,0.521,0.44,0.614,0.59,0.602,0.925,0,0,0,0,0,0.478,0.26,0,0.354,0.447,0.447,0.751,0,0.751,0,0,0,0,0,0,0,0,0,0.416,0.608,0,0.757,0,0.683,0.385,0,0,0.049,0.875,0.708,0,0,0,0.757,0
Armenia,ARM,2016,0.004750058,0.001,0.002932415,0.01031776,2015,-0.343899382,3.258096538,1,0,1,0,0,2.890371758,1.680708853,0,1,8.012349639,0.011152256,0.014256264,0,1,0,0,0,0,1,0,0,0,0,0.058977927,0,0,0,0,0,4.322606971,0,0,3.218875825,0,1,0,0,0,0,0,4/8/17,0.515,0.44,0.49,0.664,0.409,0.925,0,0,0.745,0,0,0.403,0.714,0,0.354,0.18,0.409,0.565,0,0.751,0,0,0,0,0.869,0,0,0,0,0.788,0,0,0,0,0,0.434,0,0,0.049,0,0.708,0,0,0,0,0
Vietnam,VIE,2016,0.004539276,0.005,0.006049085,0.002568742,2015,-0.035522496,2.302585093,1,0,0,0,0,4.127134385,2.360994985,0,0,11.42643032,0.011138937,0.031338708,1,0,0,0,0,0,0,0,0,0,0,0.015932502,1,0,1,1,0,5.133056524,0,0,3.688879454,1,1,0,0,0,0,0,4/8/17,0.509,0.732,0.664,0.242,0.478,0.304,0,0,0,0,0,0.863,0.937,0,0,0.919,0.397,0.801,0.881,0,0,0,0,0,0,0,0,0,0,0.391,0.608,0,0.757,0.919,0,0.968,0,0,0.198,0.875,0.708,0,0,0,0,0
Turkmenistan,TKM,2016,0.004398108,0.003,0.00544605,0.004748273,2015,0.658711641,3.091042453,1,0,0,0,0,3.218875825,2.242672901,0,1,8.589327789,0.01567273,0.021933457,0,0,0,1,0,0,0,0,0,0,2.079441542,0.025304684,0,0,1,0,0,4.767725071,0,0,3.218875825,1,0,1,0,0,0,0,4/8/17,0.503,0.621,0.639,0.366,0.645,0.813,0,0,0,0,0,0.565,0.919,0,0.354,0.298,0.509,0.695,0,0,0,0.931,0,0,0,0,0,0,0.857,0.527,0,0,0.757,0,0,0.807,0,0,0.049,0.875,0,0.652,0,0,0,0
Liberia,LBR,2016,0.004332968,0,0.005667836,0.007331067,2015,1.264798064,2.772588722,1,0,0,1,0,2.302585093,-1.58740371,0,0,8.41249912,0.04322462,0.01114306,0,0,0,0,0,0,0,1,0,0,0,0.045942337,1,0,0,0,0,4.786829162,1,0,5.129898715,0,0,0,1,0,0,0,4/8/17,0.496,0,0.652,0.515,0.913,0.658,0,0,0,0.434,0,0.236,0.074,0,0,0.242,0.807,0.515,0,0,0,0,0,0,0,0.664,0,0,0,0.701,0.608,0,0,0,0,0.826,0.72,0,0.788,0,0,0,0.683,0,0,0
Senegal,SEN,2016,0.004173594,0,0.004964407,0.007556376,2015,0.995028671,2.772588722,1,0,0,1,0,2.772588722,1.856948529,0,1,9.624368711,0.023536984,0.014856627,0,0,0,0,0,0,0,1,0,0,0,0.037374659,0,0,0,0,0,4.30014394,1,0,4.025351691,0,0,0,1,0,0,0,4/8/17,0.49,0,0.577,0.546,0.795,0.658,0,0,0,0.434,0,0.36,0.782,0,0.354,0.565,0.645,0.583,0,0,0,0,0,0,0,0.664,0,0,0,0.633,0,0,0,0,0,0.416,0.72,0,0.397,0,0,0,0.683,0,0,0
Saudi Arabia,SAU,2016,0.004079791,0,0.004112952,0.008126422,2015,-0.301864208,3.258096538,1,0,0,0,0,4.49980967,1.1516671,0,0,10.35901186,0.007579295,0.027081891,0,0,1,0,0,0,0,0,0,0,2.772588722,0.024786731,0,0,1,1,1,4.393335805,0,0,4.430816799,1,1,0,0,0,1,0,4/8/17,0.484,0,0.521,0.571,0.422,0.925,0,0,0,0,0,0.944,0.478,0,0,0.751,0.285,0.776,0,0,0.894,0,0,0,0,0,0,0,0.906,0.521,0,0,0.757,0.919,0.683,0.509,0,0,0.633,0.875,0.708,0,0,0,0.757,0
Bahrain,BAH,2016,0.004059733,0.002,0.001574365,0.008604836,2015,-0.711953191,3.258096538,1,0,0,0,0,1.386294361,1.063419341,0,0,7.227662499,0.010314542,0.007677119,0,0,1,0,0,0,0,0,0,0,4.477336814,0.026518947,0,0,1,0,1,4.747374965,0,0,3.80666249,1,0,1,0,0,0,1,4/8/17,0.478,0.571,0.409,0.596,0.316,0.925,0,0,0,0,0,0.161,0.447,0,0,0.086,0.366,0.428,0,0,0.894,0,0,0,0,0,0,0,1,0.534,0,0,0.757,0,0.683,0.782,0,0,0.242,0.875,0,0.652,0,0,0,0.931
Benin,BEN,2016,0.004041891,0,0.004570404,0.00755527,2015,1.072291482,2.772588722,1,0,0,1,0,3.218875825,1.611796274,0,1,9.29468152,0.023091369,0.013764953,0,0,0,0,0,0,0,1,0,0,0,0.039657917,0,0,0,0,0,4.397391075,1,0,4.025351691,0,0,0,1,0,0,0,4/8/17,0.472,0,0.552,0.54,0.85,0.658,0,0,0,0.434,0,0.565,0.658,0,0.354,0.509,0.639,0.546,0,0,0,0,0,0,0,0.664,0,0,0,0.664,0,0,0,0,0,0.515,0.72,0,0.397,0,0,0,0.683,0,0,0
Brazil,BRA,2016,0.003996588,0.002,0.004166105,0.005823657,2015,-0.024167954,1.609437912,1,0,0,1,0,3.433987204,-2.153703483,0,0,12.24456232,0.017981434,0.014867003,0,0,0,0,1,0,0,1,0,0,0,0.013367818,0,0,0,0,0,3.223164955,0,0,5.252273428,0,0,1,0,0,0,0,4/8/17,0.465,0.571,0.534,0.434,0.484,0.068,0,0,0,0.434,0,0.695,0.049,0,0,0.975,0.527,0.59,0,0,0,0,0.85,0,0,0.664,0,0,0,0.329,0,0,0,0,0,0.018,0,0,0.844,0,0,0.652,0,0,0,0
Ghana,GHA,2016,0.003836553,0.001,0.004646946,0.005862711,2015,0.673538709,2.772588722,1,0,0,1,0,2.708050201,0.95344954,0,1,10.21866319,0.019772328,0.015648974,0,0,0,0,0,0,0,1,0,0,0,0.029162091,0,0,0,0,0,4.482453382,1,0,4.077537444,0,0,0,1,0,0,0,4/8/17,0.459,0.44,0.559,0.447,0.652,0.658,0,0,0,0.434,0,0.341,0.416,0,0.354,0.708,0.565,0.602,0,0,0,0,0,0,0,0.664,0,0,0,0.565,0,0,0,0,0,0.583,0.72,0,0.515,0,0,0,0.683,0,0,0
Comoros,COM,2016,0.003821094,0,0.001688816,0.009774466,2015,1.204497463,0,1,0,0,1,0,2.302585093,-1.381422137,0,0,6.66949809,0.067288412,0.002186082,0,0,0,0,0,0,0,1,0,0,0,0.056598723,0,0,0,0,0,4.38103117,1,0,3.713572067,0,1,0,0,0,0,0,4/8/17,0.453,0,0.422,0.645,0.888,0,0,0,0,0.434,0,0.236,0.099,0,0,0.024,0.894,0.074,0,0,0,0,0,0,0,0.664,0,0,0,0.77,0,0,0,0,0,0.49,0.72,0,0.204,0,0.708,0,0,0,0,0
Bosnia and Herzegovina,BOS,2016,0.003789767,0.003,0.001768144,0.006601157,2015,-1.203360729,2.302585093,1,0,0,0,1,0,1.734067242,0,1,8.245384468,0.010388704,0.008662096,0,1,0,0,0,0,0,0,0,1,0,0.015261836,1,0,0,0,1,4.508690546,0,0,3.17805383,0,0,0,1,0,1,0,4/8/17,0.447,0.621,0.428,0.484,0.211,0.304,0,0,0,0,0.962,0,0.732,0,0.354,0.204,0.372,0.465,0,0.751,0,0,0,0,0,0,0,0.962,0,0.372,0.608,0,0,0,0.683,0.608,0,0,0.043,0,0,0,0.683,0,0.757,0
Mexico,MEX,2016,0.003748016,0.005,0.002263665,0.003980383,2015,-0.443437585,1.386294361,1,0,0,1,0,2.944438979,1.108950105,1.609437912,1,11.75207621,0.012905717,0.009705452,0,0,0,0,1,0,0,1,0,0,0,0.009809475,0,3.496507561,0,0,0,4.187489029,0,0,5.272999559,0,0,1,0,0,0,0,4/8/17,0.44,0.732,0.459,0.354,0.372,0.055,0,0,0,0.434,0,0.422,0.459,0.925,0.354,0.944,0.44,0.49,0,0,0,0,0.85,0,0,0.664,0,0,0,0.279,0,0.956,0,0,0,0.354,0,0,0.863,0,0,0.652,0,0,0,0
Lesotho,LES,2016,0.003707442,0.001,0.004265712,0.005856614,2015,0.945102821,1.945910149,1,1,0,1,0,2.63905733,1.486833364,0,1,7.666221926,0.07546658,0.005506603,0,0,0,0,0,0,0,1,0,0,0,0.038842386,0,0,0,0,0,4.953310711,1,0,3.912023005,0,1,0,0,0,0,0,4/8/17,0.434,0.44,0.54,0.44,0.782,0.136,0,0.913,0,0.434,0,0.31,0.608,0,0.354,0.13,0.906,0.31,0,0,0,0,0,0,0,0.664,0,0,0,0.658,0,0,0,0,0,0.894,0.72,0,0.291,0,0.708,0,0,0,0,0
Guatemala,GUA,2016,0.003695698,0.001,0.002145565,0.007941529,2015,0.176356104,2.197224577,1,0,0,1,0,2.995732274,1.209718708,0,1,9.70155495,0.014474448,0.008440998,0,0,0,0,1,0,0,1,0,0,0,0.014800345,1,0,0,0,1,4.030084187,0,0,5.176149733,0,0,1,0,0,1,0,4/8/17,0.428,0.44,0.453,0.559,0.571,0.211,0,0,0,0.434,0,0.453,0.509,0,0.354,0.596,0.478,0.459,0,0,0,0,0.85,0,0,0.664,0,0,0,0.36,0.608,0,0,0,0.683,0.254,0,0,0.801,0,0,0.652,0,0,0.757,0
Timor Leste,ETM,2016,0.003450904,0,0.00193836,0.008414351,2015,0.678077497,2.302585093,1,0,0,1,0,2.63905733,-1.554576976,0,0,7.122059882,0.029367945,0.004574133,1,0,0,0,0,0,0,1,0,0,0,0.053607389,0,0,0,0,0,4.640183073,0,0,2.63905733,0,0,0,0,1,0,0,4/8/17,0.422,0,0.434,0.583,0.677,0.304,0,0,0,0.434,0,0.31,0.08,0,0,0.055,0.689,0.254,0.881,0,0,0,0,0,0,0.664,0,0,0,0.745,0,0,0,0,0,0.72,0,0,0.018,0,0,0,0,0.975,0,0
Romania,RUM,2016,0.003295251,0.001,0.001073868,0.007811886,2015,-0.655805389,2.302585093,1,0,0,1,0,2.995732274,1.983997235,0,1,9.891667976,0.007576873,0.006314626,0,1,0,0,0,0,0,1,0,0,0,0.01822935,1,0,0,0,1,4.408805565,0,0,4.934473933,0,0,1,0,0,1,0,4/8/17,0.416,0.44,0.335,0.552,0.335,0.304,0,0,0,0.434,0,0.453,0.869,0,0.354,0.639,0.279,0.378,0,0.751,0,0,0,0,0,0.664,0,0,0,0.422,0.608,0,0,0,0.683,0.527,0,0,0.751,0,0,0.652,0,0,0.757,0
Georgia,GRG,2016,0.003290794,0,0.001172514,0.008699866,2015,-0.165409485,3.258096538,1,0,0,1,0,3.218875825,1.911955617,0,1,8.2204031,0.008652491,0.006320301,0,1,0,0,0,0,0,1,0,0,0,0.024429503,1,0,0,0,1,4.637487609,0,0,3.218875825,0,0,1,0,0,1,0,4/8/17,0.409,0,0.354,0.608,0.453,0.925,0,0,0,0.434,0,0.565,0.838,0,0.354,0.198,0.329,0.385,0,0.751,0,0,0,0,0,0.664,0,0,0,0.515,0.608,0,0,0,0.683,0.714,0,0,0.049,0,0,0.652,0,0,0.757,0
Swaziland,SWA,2016,0.002870912,0,0.004151664,0.004461072,2015,1.01481608,1.945910149,1,0,0,0,0,3.761200116,0.674661163,0,0,7.160069208,0.028877752,0.010578924,0,0,0,0,0,0,0,0,0,0,0,0.021129367,0,0,1,0,0,4.617238086,1,0,3.871201011,1,1,0,0,0,0,0,4/8/17,0.403,0,0.527,0.36,0.801,0.136,0,0,0,0,0,0.77,0.291,0,0,0.068,0.683,0.503,0,0,0,0,0,0,0,0,0,0,0,0.472,0,0,0.757,0,0,0.677,0.72,0,0.273,0.875,0.708,0,0,0,0,0
Dominican Republic,DOM,2016,0.002860509,0.001,0.001520611,0.006060916,2015,-0.011347265,2.197224577,1,0,0,1,0,2.995732274,2.419758993,0,1,9.261793654,0.01199952,0.006640037,0,0,0,0,1,0,0,1,0,0,2.397895273,0.02209484,1,0,0,0,0,4.031163336,0,0,5.017279837,0,0,1,0,0,0,0,4/8/17,0.397,0.44,0.403,0.459,0.49,0.211,0,0,0,0.434,0,0.453,0.95,0,0.354,0.472,0.428,0.403,0,0,0,0,0.85,0,0,0.664,0,0,0.863,0.484,0.608,0,0,0,0,0.26,0,0,0.77,0,0,0.652,0,0,0,0
Namibia,NAM,2016,0.002787928,0,0.001979662,0.006384122,2015,0.873016683,1.945910149,1,0,0,1,0,3.258096538,1.907663525,0,1,7.807510042,0.022883895,0.005587216,0,0,0,0,0,0,0,1,0,0,0,0.036750287,0,0,0,0,0,4.663184126,1,0,3.258096538,0,0,0,1,0,0,0,4/8/17,0.391,0,0.44,0.472,0.745,0.136,0,0,0,0.434,0,0.633,0.832,0,0.354,0.149,0.633,0.329,0,0,0,0,0,0,0,0.664,0,0,0,0.621,0,0,0,0,0,0.726,0.72,0,0.161,0,0,0,0.683,0,0,0
Moldova,MLD,2016,0.002718382,0,0.000821489,0.007333656,2015,-0.414426686,2.302585093,1,0,0,1,0,3.218875825,-1.001524093,0,1,8.174984533,0.00986277,0.003917464,0,1,0,0,0,0,0,1,0,0,0,0.022017539,0,0,0,0,1,4.78460198,0,0,3.218875825,0,0,1,0,0,1,0,4/8/17,0.385,0,0.291,0.521,0.385,0.304,0,0,0,0.434,0,0.565,0.136,0,0.354,0.192,0.354,0.229,0,0.751,0,0,0,0,0,0.664,0,0,0,0.478,0,0,0,0,0.683,0.819,0,0,0.049,0,0,0.652,0,0,0.757,0
Croatia,CRO,2016,0.002592184,0,0.000420998,0.007355555,2015,-1.194657454,2.302585093,1,0,0,1,0,2.772588722,1.432835984,0,1,8.348301055,0.005513476,0.002871535,0,1,0,0,0,0,0,1,0,0,1.945910149,0.018639404,0,0,0,0,1,4.505486135,0,0,3.218875825,0,0,1,0,0,1,0,4/8/17,0.378,0,0.136,0.527,0.217,0.304,0,0,0,0.434,0,0.36,0.577,0,0.354,0.229,0.223,0.136,0,0.751,0,0,0,0,0,0.664,0,0,0.832,0.428,0,0,0,0,0.683,0.602,0,0,0.049,0,0,0.652,0,0,0.757,0
Guyana,GUY,2016,0.002566213,0,0.000956045,0.006742593,2015,0.535755007,1.609437912,1,0,0,1,0,3.17805383,1.619397203,0,1,6.642486801,0.019736668,0.002820577,0,0,0,0,1,0,0,1,0,0,0,0.020744581,0,0,0,0,1,4.88197599,0,0,3.912023005,0,0,1,0,0,1,0,4/8/17,0.372,0,0.322,0.503,0.621,0.068,0,0,0,0.434,0,0.534,0.664,0,0.354,0.012,0.559,0.13,0,0,0,0,0.85,0,0,0.664,0,0,0,0.459,0,0,0,0,0.683,0.875,0,0,0.291,0,0,0.652,0,0,0.757,0
Peru,PER,2016,0.002289504,0,0.002108499,0.004760014,2015,0.027689698,1.609437912,1,0,0,1,0,2.708050201,1.296761529,0,1,10.35383042,0.015280892,0.007970064,0,0,0,0,1,0,0,1,0,0,0,0.013924906,1,0,0,0,0,3.835577599,0,0,4.919980926,0,0,0,1,0,0,0,4/8/17,0.366,0,0.447,0.372,0.515,0.068,0,0,0,0.434,0,0.341,0.54,0,0.354,0.745,0.49,0.44,0,0,0,0,0.85,0,0,0.664,0,0,0,0.341,0.608,0,0,0,0,0.13,0,0,0.739,0,0,0,0.683,0,0,0
Belgium,BEL,2016,0.002243505,0,0.000304307,0.006426207,2015,-1.720617243,2.302585093,1,0,0,1,0,4.276666119,0.426413334,0,1,9.332646496,0.002961158,0.003142697,0,1,0,0,0,0,1,0,0,0,0,0.022392681,0,0,0,0,1,5.11822125,0,0,5.225746674,0,0,1,0,0,1,0,4/8/17,0.36,0,0.086,0.478,0.055,0.304,0,0,0,0.434,0,0.931,0.236,0,0.354,0.527,0.043,0.173,0,0.751,0,0,0,0,0.869,0,0,0,0,0.496,0,0,0,0,0.683,0.962,0,0,0.826,0,0,0.652,0,0,0.757,0
Fiji,FJI,2016,0.002162118,0,0.001116127,0.005370227,2015,-0.650762514,0,1,0,1,0,0,0.693147181,1.944503848,0,0,6.793466133,0.029485704,0.00250796,1,0,0,0,0,1,0,0,0,0,0,0.026568574,0,1.386294361,0,0,0,4.767297944,0,0,3.828641396,0,0,1,0,0,0,0,4/8/17,0.354,0,0.341,0.403,0.341,0,0,0,0.745,0,0,0.074,0.863,0,0,0.043,0.695,0.093,0.881,0,0,0,0,0.906,0,0,0,0,0,0.54,0,0.782,0,0,0,0.801,0,0,0.267,0,0,0.652,0,0,0,0
Albania,ALB,2016,0.002036469,0,0.000745361,0.005364047,2015,-0.401798263,2.302585093,1,0,0,1,0,2.944438979,1.672941201,0,1,7.972810784,0.009302944,0.00367536,0,1,0,0,0,0,0,1,0,0,0,0.022235642,1,0,0,0,0,4.324177154,0,0,4.644390899,0,1,0,0,0,0,0,4/8/17,0.347,0,0.279,0.397,0.391,0.304,0,0,0,0.434,0,0.422,0.708,0,0.354,0.161,0.341,0.217,0,0.751,0,0,0,0,0,0.664,0,0,0,0.49,0.608,0,0,0,0,0.44,0,0,0.683,0,0.708,0,0,0,0,0
Solomon Islands,SOL,2016,0.002020798,0,0.000401437,0.005660956,2015,-0.196858617,0,1,0,0,1,0,2.48490665,1.01360611,0,0,6.369900983,0.022264247,0.001011944,1,0,0,0,0,0,0,1,0,0,0,0.033999484,0,0,0,0,0,4.814311064,0,0,3.63758616,0,1,0,0,0,0,0,4/8/17,0.341,0,0.13,0.428,0.447,0,0,0,0,0.434,0,0.291,0.434,0,0,0,0.608,0,0.881,0,0,0,0,0,0,0.664,0,0,0,0.583,0,0,0,0,0,0.838,0,0,0.186,0,0.708,0,0,0,0,0
Botswana,BOT,2016,0.001979383,0.002,0.000503337,0.003434811,2015,-0.757913139,1.945910149,1,0,0,1,0,3.912023005,-1.227341676,0,0,7.724004657,0.008780374,0.002503451,0,0,0,0,0,0,0,1,0,0,1.386294361,0.014127104,0,0,0,0,0,4.533694371,1,0,3.912023005,0,0,1,0,0,0,0,4/8/17,0.335,0.571,0.204,0.31,0.31,0.136,0,0,0,0.434,0,0.807,0.118,0,0,0.142,0.335,0.086,0,0,0,0,0,0,0,0.664,0,0,0.801,0.347,0,0,0,0,0,0.614,0.72,0,0.291,0,0,0.652,0,0,0,0
Serbia,SRB,2016,0.001957439,0,0.000559771,0.005312546,2015,-1.147271262,2.302585093,1,0,0,1,0,2.302585093,0.861077063,0,1,8.867427439,0.006406108,0.003513642,0,1,0,0,0,0,0,1,0,0,0,0.012387275,0,0,0,0,1,4.591074855,0,0,2.302585093,0,0,0,0,1,1,0,4/8/17,0.329,0,0.223,0.391,0.223,0.304,0,0,0,0.434,0,0.236,0.36,0,0.354,0.378,0.242,0.192,0,0.751,0,0,0,0,0,0.664,0,0,0,0.304,0,0,0,0,0.683,0.645,0,0,0.006,0,0,0,0,0.975,0.757,0
Israel,ISR,2016,0.001734285,0.002,0.000423989,0.002778868,2015,-1.680381931,3.17805383,1,0,0,1,0,4.204692619,0.750153546,1.098612289,0,9.030016818,0.003480661,0.004011812,0,0,1,0,0,0,0,0,1,0,0,0.003293509,0,3.526360525,0,1,1,4.141938652,0,0,4.219507705,0,0,1,0,0,1,0,4/8/17,0.322,0.571,0.142,0.267,0.074,0.881,0,0,0,0.434,0,0.881,0.316,0.881,0,0.416,0.093,0.242,0,0,0.894,0,0,0,0,0,0.795,0,0,0.105,0,0.962,0,0.919,0.683,0.316,0,0,0.577,0,0,0.652,0,0,0.757,0
Bulgaria,BUL,2016,0.001693162,0.001,0.000669313,0.003410173,2015,-0.788614812,2.302585093,1,0,0,1,0,3.258096538,1.867011359,0,1,8.877800394,0.006586281,0.004180544,0,1,0,0,0,0,0,1,0,0,0,0.01642587,1,0,0,0,0,4.875915098,0,0,4.927253685,0,0,1,0,0,0,0,4/8/17,0.316,0.44,0.267,0.304,0.285,0.304,0,0,0,0.434,0,0.633,0.795,0,0.354,0.385,0.254,0.248,0,0.751,0,0,0,0,0,0.664,0,0,0,0.403,0.608,0,0,0,0,0.863,0,0,0.745,0,0,0.652,0,0,0,0
Argentina,ARG,2016,0.00169014,0,0.001152194,0.003918226,2015,-0.676235108,1.609437912,1,0,0,1,0,3.496507561,0.370158672,0,1,10.67860635,0.008298862,0.006388317,0,0,0,0,1,0,0,1,0,0,0,0.007986867,1,0,0,0,0,3.37682204,0,0,5.298317367,0,1,0,0,0,0,0,4/8/17,0.31,0,0.347,0.347,0.329,0.068,0,0,0,0.434,0,0.714,0.229,0,0.354,0.807,0.322,0.391,0,0,0,0,0.85,0,0,0.664,0,0,0,0.242,0.608,0,0,0,0,0.024,0,0,0.888,0,0.708,0,0,0,0,0
Cyprus,CYP,2016,0.001624385,0.002,0.000432357,0.0024408,2015,-0.823871107,3.258096538,1,0,0,1,0,3.737669618,0.736779216,0,1,7.060476366,0.005155124,0.003099996,0,1,0,0,0,0,0,0,1,0,0,0.00549734,0,0,0,1,1,4.683063178,0,0,4.025351691,0,1,0,0,0,1,0,4/8/17,0.304,0.571,0.155,0.236,0.273,0.925,0,0,0,0.434,0,0.763,0.304,0,0.354,0.049,0.211,0.167,0,0.751,0,0,0,0,0,0,0.795,0,0,0.192,0,0,0,0.919,0.683,0.732,0,0,0.397,0,0.708,0,0,0,0.757,0
El Salvador,SAL,2016,0.001611724,0,0.001184651,0.003650522,2015,-0.064765959,2.197224577,1,0,0,1,0,3.465735903,1.410545947,0,1,8.720460513,0.011047084,0.00537293,0,0,0,0,1,0,0,1,0,0,0,0.012240835,1,0,0,0,0,4.238058094,0,0,5.164785974,0,1,0,0,0,0,0,4/8/17,0.298,0,0.36,0.335,0.465,0.211,0,0,0,0.434,0,0.708,0.571,0,0.354,0.341,0.391,0.291,0,0,0,0,0.85,0,0,0.664,0,0,0,0.298,0.608,0,0,0,0,0.378,0,0,0.795,0,0.708,0,0,0,0,0
Honduras,HON,2016,0.001586927,0,0.001310612,0.00345017,2015,-0.047007446,2.197224577,1,0,0,1,0,3.526360525,1.247531835,0,1,8.996528148,0.011139786,0.005958988,0,0,0,0,1,0,0,1,0,0,1.098612289,0.015971387,0,0,0,0,0,4.723923724,0,0,5.18178355,0,1,0,0,0,0,0,4/8/17,0.291,0,0.391,0.316,0.472,0.211,0,0,0,0.434,0,0.72,0.521,0,0.354,0.403,0.403,0.36,0,0,0,0,0.85,0,0,0.664,0,0,0.776,0.397,0,0,0,0,0,0.757,0,0,0.807,0,0.708,0,0,0,0,0
Paraguay,PAR,2016,0.001580663,0,0.001243748,0.003498239,2015,0.050899619,1.609437912,1,0,0,1,0,3.17805383,1.179878793,0,1,8.800716629,0.014277976,0.004720292,0,0,0,0,1,0,0,1,0,0,0,0.014181598,0,0,0,0,0,4.497741048,0,0,5.323009979,0,1,0,0,0,0,0,4/8/17,0.285,0,0.372,0.322,0.527,0.068,0,0,0,0.434,0,0.534,0.49,0,0.354,0.36,0.472,0.267,0,0,0,0,0.85,0,0,0.664,0,0,0,0.354,0,0,0,0,0,0.59,0,0,0.894,0,0.708,0,0,0,0,0
Nicaragua,NIC,2016,0.001522772,0,0.001306785,0.003261532,2015,0.030747804,2.197224577,1,0,0,1,0,3.258096538,1.816712879,0,1,8.713088868,0.012081523,0.005607393,0,0,0,0,1,0,0,1,0,0,0,0.013197783,1,0,0,0,0,4.621202917,0,0,5.18178355,0,0,1,0,0,0,0,4/8/17,0.279,0,0.385,0.291,0.521,0.211,0,0,0,0.434,0,0.633,0.751,0,0.354,0.335,0.434,0.347,0,0,0,0,0.85,0,0,0.664,0,0,0,0.322,0.608,0,0,0,0,0.683,0,0,0.807,0,0,0.652,0,0,0,0
United Arab Emirates,UAE,2016,0.001504624,0,0.002373174,0.002140699,2015,-0.587419375,3.258096538,1,0,0,0,0,3.80666249,0.950469055,0,0,9.122273893,0.0071235,0.015581007,0,0,1,0,0,0,0,0,0,0,0,0.010504193,0,0,1,0,0,5.169772016,0,0,3.80666249,1,0,0,1,0,0,0,4/8/17,0.273,0,0.472,0.217,0.36,0.925,0,0,0,0,0,0.776,0.409,0,0,0.434,0.267,0.596,0,0,0.894,0,0,0,0,0,0,0,0,0.285,0,0,0.757,0,0,0.981,0,0,0.242,0.875,0,0,0.683,0,0,0
Trinidad and Tobago,TRI,2016,0.001494121,0,0.000859509,0.003622855,2015,0.226548925,1.609437912,1,0,0,1,0,3.988984047,-1.499072409,0,1,7.215239979,0.015617564,0.002968169,0,0,0,0,1,0,0,0,1,0,0,0.00614182,0,0,0,0,1,4.329215444,0,0,3.988984047,0,0,0,1,0,1,0,4/8/17,0.267,0,0.304,0.329,0.59,0.068,0,0,0,0.434,0,0.832,0.093,0,0.354,0.08,0.503,0.155,0,0,0,0,0.85,0,0,0,0.795,0,0,0.204,0,0,0,0,0.683,0.447,0,0,0.341,0,0,0,0.683,0,0.757,0
